,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
884,Regional School District 18,Lyme-Old Lyme Middle School,Regional Schools,2185112,53 Lyme St.,Old Lyme,06371-2335,860-434-2568,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0.0,"53 Lyme St.
Old Lyme, CT 06371-2335
(41.317919, -72.329563)","53 Lyme St., Old Lyme, Connecticut, USA","53 Lyme St, Old Lyme, CT 06371, USA",41.3190008,-72.3275056
885,Greenwich School District,Riverside School,Public Schools,571011,90 Hendrie Ave.,Riverside,06878-1829,203-637-1440,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"90 Hendrie Ave.
Riverside, CT 06878-1829
(41.033633, -73.580537)","90 Hendrie Ave., Riverside, Connecticut, USA","90 Hendrie Ave, Riverside, CT 06878, USA",41.032357,-73.5805996
886,Wilton School District,Cider Mill School,Public Schools,1610711,240 School Rd.,Wilton,06897-2507,203-762-3351,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"240 School Rd.
Wilton, CT 06897-2507
(41.206003, -73.43086)","240 School Rd., Wilton, Connecticut, USA","240 School Rd, Wilton, CT 06897, USA",41.2044567,-73.4332555
887,Bridgeport School District,Bridgeport School District,Public School Districts,150011,"45 Lyon Terrace, Rm 303",Bridgeport,06604,203-275-1037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"45 Lyon Terrace, Rm 303
Bridgeport, CT 06604
(41.181035, -73.192938)","45 Lyon Terrace, Rm 303, Bridgeport, Connecticut, USA","45 Lyon Terrace Rm 303, Bridgeport, CT 06604, USA",41.1803579,-73.1929473
888,Regional School District 10,Lake Garda Elementary School,Regional Schools,2100212,61 Monce Rd.,Burlington,06013-2540,860-673-2511,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"61 Monce Rd.
Burlington, CT 06013-2540
(41.740889, -72.907697)","61 Monce Rd., Burlington, Connecticut, USA","61 Monce Rd, Burlington, CT 06013, USA",41.7408588,-72.90886669999999
889,Bridgeport School District,Madison School,Public Schools,152011,376 Wayne St.,Bridgeport,06606,203-576-7186,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"376 Wayne St.
Bridgeport, CT 06606
(41.202592, -73.209127)","376 Wayne St., Bridgeport, Connecticut, USA","376 Wayne St, Bridgeport, CT 06606, USA",41.2027485,-73.2088011
890,Oxford School District,Great Oak Middle School,Public Schools,1085111,40 Great Oak Rd.,Oxford,06478,203-888-5418,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"40 Great Oak Rd.
Oxford, CT 06478
(41.422811, -73.140166)","40 Great Oak Rd., Oxford, Connecticut, USA","40 Great Oak Rd, Oxford, CT 06478, USA",41.4241067,-73.1415799
891,Darien School District,Hindley Elementary School,Public Schools,350211,10 Nearwater Ln.,Darien,06820-5698,203-655-1323,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"10 Nearwater Ln.
Darien, CT 06820-5698
(41.058733, -73.488814)","10 Nearwater Ln., Darien, Connecticut, USA","10 Nearwater Ln, Darien, CT 06820, USA",41.05881919999999,-73.4882435
892,Stamford School District,Stamford School District,Public School Districts,1350011,"888 Washington Boulevard, Box 9310",Stamford,06901,203-977-4543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"888 Washington Boulevard, Box 9310
Stamford, CT 06901
(41.051623, -73.542343)","888 Washington Boulevard, Box 9310, Stamford, Connecticut, USA","888 Washington Blvd, Stamford, CT 06901, USA",41.0513613,-73.5428304
893,Darien School District,Middlesex Middle School,Public Schools,355111,204 Hollow Tree Ridge Rd.,Darien,06820-4023,203-655-2518,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"204 Hollow Tree Ridge Rd.
Darien, CT 06820-4023
(41.074407, -73.498543)","204 Hollow Tree Ridge Rd., Darien, Connecticut, USA","204 Hollow Tree Ridge Rd, Darien, CT 06820, USA",41.0734495,-73.4971053
894,Groton School District,Carl C. Cutler Middle School,Public Schools,595311,160 Fishtown Rd.,Mystic,06355-2012,860-572-5830,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"160 Fishtown Rd.
Mystic, CT 06355-2012
(41.347758, -71.998941)","160 Fishtown Rd., Mystic, Connecticut, USA","160 Fishtown Rd, Mystic, CT 06355, USA",41.3470744,-71.9980176
895,Judicial Centers,Boys Intermediate Residential Program (Boys IR),State Agency Facilities,3481315,550 Goshen Road,Litchfield,06759,860-567-9423,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2011-07-01T00:00:00.000,0.0,"550 Goshen Road
Litchfield, CT 06759
(41.780823, -73.206098)","550 Goshen Road, Litchfield, Connecticut, USA","550 Goshen Rd, Litchfield, CT 06759, USA",41.7827756,-73.2066236
896,Judicial Centers,Hartford Detention Center,State Agency Facilities,3480315,920 Broad St.,Hartford,06106,860-244-7965,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2009-05-14T00:00:00.000,0.0,"920 Broad St.
Hartford, CT 06106
(41.75687, -72.687045)","920 Broad St., Hartford, Connecticut, USA","920 Broad St, Hartford, CT 06106, USA",41.7573428,-72.6859772
897,Mansfield School District,Dorothy C. Goodwin School,Public Schools,780211,321 Hunting Lodge Rd.,Storrs,06268-1508,860-429-4630,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"321 Hunting Lodge Rd.
Storrs, CT 06268-1508
(41.818886, -72.283149)","321 Hunting Lodge Rd., Storrs, Connecticut, USA","321 Hunting Lodge Rd, Storrs, CT 06268, USA",41.8185309,-72.28365749999999
898,Barkhamsted School District,Barkhamsted Elementary School,Public Schools,50111,65 Ripley Hill Rd.,Barkhamsted,06063,860-379-2729,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"65 Ripley Hill Rd.
Barkhamsted, CT 06063
(41.911255, -72.991687)","65 Ripley Hill Rd., Barkhamsted, Connecticut, USA","65 Ripley Hill Rd, Barkhamsted, CT 06063, USA",41.9113017,-72.99007809999999
899,Regional School District 05,Amity Regional High School,Regional Schools,2056112,25 Newton Rd.,Woodbridge,06525-1598,203-397-4830,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0.0,"25 Newton Rd.
Woodbridge, CT 06525-1598
(41.358864, -73.009908)","25 Newton Rd., Woodbridge, Connecticut, USA","25 Newton Rd, Woodbridge, CT 06525, USA",41.3575285,-73.0075495
900,Newington School District,Newington High School,Public Schools,946111,605 Willard Ave.,Newington,06111-2648,860-666-5611,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"605 Willard Ave.
Newington, CT 06111-2648
(41.702799, -72.734848)","605 Willard Ave., Newington, Connecticut, USA","605 Willard Ave, Newington, CT 06111, USA",41.6999591,-72.7360387
901,Hartford School District,Webster Micro Society Magnet School,Public Schools,642011,5 Cone Street,Hartford,06105,860-695-5380,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1.0,"5 Cone Street
Hartford, CT 06105
(41.768894, -72.712253)","5 Cone Street, Hartford, Connecticut, USA","5 Cone St, Hartford, CT 06105, USA",41.7682258,-72.71239469999999
902,Ridgefield School District,East Ridge Middle School,Public Schools,1185111,10 East Ridge Rd.,Ridgefield,06877-5022,203-894-5500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"10 East Ridge Rd.
Ridgefield, CT 06877-5022
(41.276664, -73.492727)","10 East Ridge Rd., Ridgefield, Connecticut, USA","10 E Ridge Rd, Ridgefield, CT 06877, USA",41.277285,-73.4908124
903,Naugatuck School District,Hop Brook Elementary School,Public Schools,880511,75 Crown Street,Naugatuck,06770,203-720-5231,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"75 Crown Street
Naugatuck, CT 06770
(41.501374, -73.054778)","75 Crown Street, Naugatuck, Connecticut, USA","75 Crown St, Naugatuck, CT 06770, USA",41.5016091,-73.0553315
904,Thomaston School District,Black Rock School,Public Schools,1400111,57 Branch Rd.,Thomaston,06787-1916,860-283-3040,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"57 Branch Rd.
Thomaston, CT 06787-1916
(41.657887, -73.093463)","57 Branch Rd., Thomaston, Connecticut, USA","57 Branch Rd, Thomaston, CT 06787, USA",41.6567402,-73.09212939999999
905,Middletown School District,Farm Hill School,Public Schools,830511,390 Ridge Rd.,Middletown,06457-4437,860-346-1225,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"390 Ridge Rd.
Middletown, CT 06457-4437
(41.538274, -72.642091)","390 Ridge Rd., Middletown, Connecticut, USA","390 Ridge Rd, Middletown, CT 06457, USA",41.53836,-72.6407102
906,Cheshire School District,Dodd Middle School,Public Schools,255111,100 Park Place,Cheshire,06410-2145,203-272-3249,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"100 Park Place
Cheshire, CT 06410-2145
(41.510154, -72.90524)","100 Park Place, Cheshire, Connecticut, USA","100 Park Pl, Cheshire, CT 06410, USA",41.5104079,-72.9046367
907,Guilford School District,A. Baldwin Middle School,Public Schools,600711,68 Bullard Dr.,Guilford,06437-1553,203-457-0222,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"68 Bullard Dr.
Guilford, CT 06437-1553
(41.338773, -72.719403)","68 Bullard Dr., Guilford, Connecticut, USA","68 Bullard Dr, Guilford, CT 06437, USA",41.3378242,-72.7188601
908,Regional School District 16,Prospect Elementary School,Regional Schools,2160512,75 New Haven Road,Prospect,06712,203-578-3300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2015-08-31T00:00:00.000,,"75 New Haven Road
Prospect, CT 06712
(41.491099, -72.974531)","75 New Haven Road, Prospect, Connecticut, USA","75 New Haven Rd, Prospect, CT 06712, USA",41.49175229999999,-72.9718369
909,Middletown School District,Woodrow Wilson Middle School,Public Schools,835411,370 Hunting Hill Ave.,Middletown,06457-4356,860-347-8594,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"370 Hunting Hill Ave.
Middletown, CT 06457-4356
(41.539727, -72.64695)","370 Hunting Hill Ave., Middletown, Connecticut, USA","370 Hunting Hill Ave, Middletown, CT 06457, USA",41.5402646,-72.6456281
910,New Haven School District,Sound School,Public Schools,936711,60 South Water St.,New Haven,06519,475-220-2300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1995-07-01T00:00:00.000,0.0,"60 South Water St.
New Haven, CT 06519
(41.282078, -72.928708)","60 South Water St., New Haven, Connecticut, USA","60 S Water St, New Haven, CT 06519, USA",41.2818014,-72.92854969999999
911,West Hartford School District,Smith School,Public Schools,1551711,64 St. James St.,West Hartford,06119-2325,860-236-3317,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1995-07-01T00:00:00.000,0.0,"64 St. James St.
West Hartford, CT 06119-2325
(41.751416, -72.724844)","64 St. James St., West Hartford, Connecticut, USA","64 St James St, West Hartford, CT 06119, USA",41.7518371,-72.72458639999999
912,Stamford School District,Scofield Middle School,Public Schools,1355711,641 Scofieldtown Rd.,Stamford,06903,203-977-2750,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,0.0,"641 Scofieldtown Rd.
Stamford, CT 06903
(41.136227, -73.558728)","641 Scofieldtown Rd., Stamford, Connecticut, USA","641 Scofieldtown Rd, Stamford, CT 06903, USA",41.1374761,-73.5576644
913,Hartford School District,M. D. Fox School,Public Schools,640811,470 Maple Avenue,Hartford,06114-1215,860-695-7790,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"470 Maple Avenue
Hartford, CT 06114-1215
(41.746561, -72.680879)","470 Maple Avenue, Hartford, Connecticut, USA","470 Maple Ave, Hartford, CT 06114, USA",41.7463412,-72.6797881
914,Learn,Marine Science Magnet High School,Regional Education Service Center Schools,2456114,130 Shennecossett Road,Groton,06340,860-434-4800,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2011-07-01T00:00:00.000,1.0,"130 Shennecossett Road
Groton, CT 06340
(41.336773, -72.071518)","130 Shennecossett Road, Groton, Connecticut, USA","130 Shennecossett Rd, Groton, CT 06340, USA",41.3374312,-72.0720924
915,The Gilbert School District,The Gilbert School,Endowed and Incorporated Academies Schools,9026122,200 Williams Ave.,Winsted,06098-1190,860-379-8521,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"200 Williams Ave.
Winsted, CT 06098-1190
(41.929629, -73.071746)","200 Williams Ave., Winsted, Connecticut, USA","200 Williams Ave, Winsted, CT 06098, USA",41.9307252,-73.0725322
916,Norwalk School District,Wolfpit School,Public Schools,1032411,One Starlight  Drive,Norwalk,06851-3443,203-899-2980,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,,"One Starlight  Drive, Norwalk, Connecticut, USA","1 Bates Ct, Norwalk, CT 06854, USA",41.0935696,-73.4242366
917,New Haven School District,Davis Academy for Arts & Design Innovation,Public Schools,930911,35 Davis St.,New Haven,06515,475-220-7800,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1.0,"35 Davis St.
New Haven, CT 06515
(41.328503, -72.974062)","35 Davis St., New Haven, Connecticut, USA","35 Davis St, New Haven, CT 06515, USA",41.3285059,-72.9732763
918,Waterbury School District,Washington School,Public Schools,1512311,685 Baldwin St.,Waterbury,06706-1507,203-574-8177,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"685 Baldwin St.
Waterbury, CT 06706-1507
(41.543386, -73.03412)","685 Baldwin St., Waterbury, Connecticut, USA","685 Baldwin St, Waterbury, CT 06706, USA",41.5434214,-73.03358949999999
919,Bloomfield School District,Bloomfield School District,Public School Districts,110011,1133 Blue Hills Avenue,Bloomfield,06002,860-769-4200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"1133 Blue Hills Avenue
Bloomfield, CT 06002
(41.82944, -72.697088)","1133 Blue Hills Avenue, Bloomfield, Connecticut, USA","1133 Blue Hills Ave, Bloomfield, CT 06002, USA",41.8291931,-72.6984607
920,Shelton School District,Booth Hill School,Public Schools,1261011,544 Booth Hill Rd.,Shelton,06484-3426,203-929-5625,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"544 Booth Hill Rd.
Shelton, CT 06484-3426
(41.28424, -73.183693)","544 Booth Hill Rd., Shelton, Connecticut, USA","544 Booth Hill Rd, Shelton, CT 06484, USA",41.2844776,-73.1826232
921,Guilford School District,Calvin Leete School,Public Schools,600411,280 South Union St.,Guilford,06437-2825,203-453-2726,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"280 South Union St.
Guilford, CT 06437-2825
(41.282213, -72.668928)","280 South Union St., Guilford, Connecticut, USA","280 S Union St, Guilford, CT 06437, USA",41.2829262,-72.6689799
922,Putnam School District,Putnam School District,Public School Districts,1160011,152 Woodstock Avenue,Putnam,06260,860-963-6900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"152 Woodstock Avenue
Putnam, CT 06260
(41.923464, -71.91579)","152 Woodstock Avenue, Putnam, Connecticut, USA","152 Woodstock Ave, Putnam, CT 06260, USA",41.9232295,-71.91572289999999
923,The Bridge Academy District,The Bridge Academy,Public Charter Schools,2696113,160 Pulaski Street,Bridgeport,06608,203-336-9999,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1997-07-01T00:00:00.000,0.0,"160 Pulaski Street
Bridgeport, CT 06608
(41.184085, -73.184452)","160 Pulaski Street, Bridgeport, Connecticut, USA","160 Pulaski St, Bridgeport, CT 06608, USA",41.18394809999999,-73.1839794
924,Norwich School District,Veterans' Memorial School,Public Schools,1041811,80 Crouch Ave.,Norwich,06360-7329,860-823-4209,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"80 Crouch Ave.
Norwich, CT 06360-7329
(41.504717, -72.072061)","80 Crouch Ave., Norwich, Connecticut, USA","80 Crouch Ave, Norwich, CT 06360, USA",41.5037673,-72.07227759999999
925,Wolcott School District,Tyrrell Middle School,Public Schools,1665111,500 Todd Rd.,Wolcott,06716-3144,203-879-8151,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"500 Todd Rd.
Wolcott, CT 06716-3144
(41.556446, -72.967019)","500 Todd Rd., Wolcott, Connecticut, USA","500 Todd Rd, Wolcott, CT 06716, USA",41.556396,-72.96833219999999
926,North Branford School District,Totoket Valley Elementary School,Public Schools,990611,1388 Middletown Ave.,Northford,06472-1380,203-484-1455,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"1388 Middletown Ave.
Northford, CT 06472-1380
(41.39202, -72.792331)","1388 Middletown Ave., Northford, Connecticut, USA","1388 Middletown Ave, Northford, CT 06472, USA",41.3923022,-72.794763
927,Cromwell School District,Woodside Intermediate School,Public Schools,330311,30 Woodside Rd.,Cromwell,06416,860-632-3564,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2006-07-01T00:00:00.000,0.0,"30 Woodside Rd.
Cromwell, CT 06416
(41.624217, -72.660557)","30 Woodside Rd., Cromwell, Connecticut, USA","30 Woodside Rd, Cromwell, CT 06416, USA",41.6220714,-72.6597267
928,New Milford School District,New Milford High School,Public Schools,966111,388 Danbury Rd.,New Milford,06776,860-350-6647,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"388 Danbury Rd.
New Milford, CT 06776
(41.527206, -73.423475)","388 Danbury Rd., New Milford, Connecticut, USA","388 Danbury Rd, New Milford, CT 06776, USA",41.5268416,-73.4252034
929,Regional School District 10,Regional School District 10,Regional School Districts,2100012,24 Lyon Road,Burlington,06013,860-673-2538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0.0,"24 Lyon Road
Burlington, CT 06013
(41.781043, -72.989497)","24 Lyon Road, Burlington, Connecticut, USA","24 Lyon Rd, Burlington, CT 06013, USA",41.78149519999999,-72.9889992
930,Trumbull School District,Tashua School,Public Schools,1440911,401 Stonehouse Rd.,Trumbull,06611-1651,203-452-4433,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"401 Stonehouse Rd.
Trumbull, CT 06611-1651
(41.275502, -73.241318)","401 Stonehouse Rd., Trumbull, Connecticut, USA","401 Stonehouse Rd, Trumbull, CT 06611, USA",41.2742442,-73.2418192
931,Avon School District,Pine Grove School,Public Schools,40411,151 Scoville Rd.,Avon,06001-3023,860-404-4790,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0.0,"151 Scoville Rd.
Avon, CT 06001-3023
(41.776801, -72.854847)","151 Scoville Rd., Avon, Connecticut, USA","Scoville Park, 151 Scoville Rd, Avon, CT 06001, USA",41.77507230000001,-72.8549634
932,Salem School District,Salem Elementary School,Public Schools,1210111,200 Hartford Rd.,Salem,06420-3804,860-859-0267,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"200 Hartford Rd.
Salem, CT 06420-3804
(41.4881, -72.274896)","200 Hartford Rd., Salem, Connecticut, USA","200 Hartford Rd, Salem, CT 06420, USA",41.4879264,-72.2738509
933,Bridgeport School District,Waltersville School,Public Schools,153011,150 Hallett Street,Bridgeport,06608-2618,203-275-2400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"150 Hallett Street
Bridgeport, CT 06608-2618
(41.182108, -73.176236)","150 Hallett Street, Bridgeport, Connecticut, USA","150 Hallett St, Bridgeport, CT 06608, USA",41.18329,-73.1744118
934,Danbury School District,Danbury High School,Public Schools,346111,43 Clapboard Ridge Rd.,Danbury,06811-4529,203-797-4803,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"43 Clapboard Ridge Rd.
Danbury, CT 06811-4529
(41.415832, -73.472196)","43 Clapboard Ridge Rd., Danbury, Connecticut, USA","43 Clapboard Ridge Rd, Danbury, CT 06811, USA",41.416984,-73.47008799999999
935,Regional School District 18,Regional School District 18,Regional School Districts,2180012,49 Lyme Street,Old Lyme,06371,860-434-7238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0.0,"49 Lyme Street
Old Lyme, CT 06371
(41.317459, -72.329633)","49 Lyme Street, Old Lyme, Connecticut, USA","49 Lyme St, Old Lyme, CT 06371, USA",41.317792,-72.3287543
936,Westport School District,Bedford Middle School,Public Schools,1585111,88 North Ave.,Westport,06880,203-341-1510,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"88 North Ave.
Westport, CT 06880
(41.156535, -73.333384)","88 North Ave., Westport, Connecticut, USA","88 North Ave, Westport, CT 06880, USA",41.1586547,-73.3294986
937,Common Ground High School District,Common Ground High School,Public Charter Schools,2686113,358 Springside Ave.,New Haven,06515,203-389-4333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1997-07-01T00:00:00.000,0.0,"358 Springside Ave.
New Haven, CT 06515
(41.337883, -72.958316)","358 Springside Ave., New Haven, Connecticut, USA","358 Springside Ave, New Haven, CT 06515, USA",41.3379446,-72.95971300000001
938,Hartford School District,Weaver High School,Public Schools,646311,415 Granby St.,Hartford,06112-1398,860-695-1640,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,0.0,"415 Granby St.
Hartford, CT 06112-1398
(41.80025, -72.70651)","415 Granby St., Hartford, Connecticut, USA","415 Granby St, Hartford, CT 06112, USA",41.80019910000001,-72.70885249999999
939,Windsor School District,Clover Street School,Public Schools,1640111,57 Clover St.,Windsor,06095-3708,860-687-2050,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"57 Clover St.
Windsor, CT 06095-3708
(41.831359, -72.662612)","57 Clover St., Windsor, Connecticut, USA","57 Clover St, Windsor, CT 06095, USA",41.8319536,-72.6635295
940,Greenwich School District,Eastern Middle School,Public Schools,575211,51 Hendrie Ave.,Riverside,06878-1809,203-637-1744,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"51 Hendrie Ave.
Riverside, CT 06878-1809
(41.033451, -73.581112)","51 Hendrie Ave., Riverside, Connecticut, USA","51 Hendrie Ave, Riverside, CT 06878, USA",41.0344,-73.5834289
941,Marlborough School District,Elmer Thienes-Mary Hall Elementary School,Public Schools,790111,25 School Dr.,Marlborough,06447-1507,860-295-6220,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"25 School Dr.
Marlborough, CT 06447-1507
(41.62726, -72.460539)","25 School Dr., Marlborough, Connecticut, USA","25 School Dr, Marlborough, CT 06447, USA",41.6268992,-72.459514
942,New Haven School District,Wilbur Cross High School,Public Schools,936111,181 Mitchell Dr.,New Haven,06511,475-220-7400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"181 Mitchell Dr.
New Haven, CT 06511
(41.321614, -72.905948)","181 Mitchell Dr., New Haven, Connecticut, USA","181 Mitchell Dr, New Haven, CT 06511, USA",41.32480899999999,-72.9079438
943,New Milford School District,New Milford School District,Public School Districts,960011,50 East Street,New Milford,06776,860-355-8406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"50 East Street
New Milford, CT 06776
(41.580153, -73.408736)","50 East Street, New Milford, Connecticut, USA","50 East St, New Milford, CT 06776, USA",41.5802432,-73.4079514
944,North Branford School District,Jerome Harrison School,Public Schools,990411,335 Foxon Rd.,North Branford,06471-1102,203-484-1235,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"335 Foxon Rd.
North Branford, CT 06471-1102
(41.329203, -72.811048)","335 Foxon Rd., North Branford, Connecticut, USA","335 Foxon Rd, North Branford, CT 06471, USA",41.3279482,-72.8114813
945,Columbia School District,Horace W. Porter School,Public Schools,300111,"3 Schoolhouse Road, P.O. Box 166",Columbia,06237-0166,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"3 Schoolhouse Road, P.O. Box 166
Columbia, CT 06237-0166
(41.703206, -72.299823)","3 Schoolhouse Road, P.O. Box 166, Columbia, Connecticut, USA","3 Schoolhouse Rd, Columbia, CT 06237, USA",41.7045494,-72.3008646
946,Montville School District,Montville High School,Public Schools,866111,800 Old Colchester Rd.,Oakdale,06370,860-848-9208,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"800 Old Colchester Rd.
Oakdale, CT 06370
(41.461396, -72.164901)","800 Old Colchester Rd., Oakdale, Connecticut, USA","800 Old Colchester Rd, Oakdale, CT 06370, USA",41.4571873,-72.16401189999999
947,Bozrah School District,Fields Memorial School,Public Schools,130111,8 Bozrah St. Ext.,Bozrah,06334-1300,860-887-2561,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"8 Bozrah St. Ext.
Bozrah, CT 06334-1300
(41.563516, -72.154607)","8 Bozrah St. Ext., Bozrah, Connecticut, USA","8 Bozrah St Ext, Bozrah, CT 06334, USA",41.5633924,-72.15355319999999
948,Vernon School District,Center Road School,Public Schools,1461411,20 Center Rd.,Vernon,06066-5102,860-870-6300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"20 Center Rd.
Vernon, CT 06066-5102
(41.839114, -72.467046)","20 Center Rd., Vernon, Connecticut, USA","20 Center Rd, Vernon, CT 06066, USA",41.8401725,-72.4674106
949,Trumbull School District,Trumbull School District,Public School Districts,1440011,6254 Main Street,Trumbull,06611,203-452-4301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"6254 Main Street
Trumbull, CT 06611
(41.268986, -73.225603)","6254 Main Street, Trumbull, Connecticut, USA","6254 Main St, Trumbull, CT 06611, USA",41.2690651,-73.2250865
950,Wilton School District,Wilton School District,Public School Districts,1610011,"395 Danbury Road, Box 277",Wilton,06897,203-762-3381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"395 Danbury Road, Box 277
Wilton, CT 06897
(41.2109, -73.431868)","395 Danbury Road, Box 277, Wilton, Connecticut, USA","395 Danbury Rd, Wilton, CT 06897, USA",41.2120429,-73.4334904
